inci_name,ingredient_category,primary_function,suitable_oily,suitable_dry,suitable_combination,suitable_normal,suitable_sensitive,suitable_mature,skin_concerns_helps,skin_concerns_worsens,age_group_suitable,pregnancy_safe,irritancy_potential,comedogenicity_0_to_5,ph_optimal_range,concentration_min_percent,concentration_max_percent,avoid_combining_with,usage_notes
Glycerin,Humectant,Moisturizing,yes,yes,yes,yes,yes,yes,dryness|texture|barrier,none,all,yes,low,0,0.5-5,20.0,70.0,none,Universal moisturizer. Safe for all skin types and ages.
Hyaluronic Acid,Humectant,Moisture Retention,yes,yes,yes,yes,yes,yes,dryness|aging|texture|barrier,none,all,yes,low,0,0.01-2,0.01,2.0,none,Use on damp skin to avoid drawing moisture from dermis. Multiple MW versions beneficial.
Sodium Hyaluronate,Humectant,Deep Moisture Retention,yes,yes,yes,yes,yes,yes,dryness|aging|texture|barrier,none,all,yes,low,0,0.01-2,0.01,2.0,none,Smaller MW than HA; penetrates deeper into skin layers.
Propylene Glycol,Humectant/Solvent,Moisturizing/Penetration Enhancer,moderate,yes,moderate,yes,caution,yes,dryness,redness|sensitivity,all,yes,medium,1,1-5,1.0,15.0,none,Can irritate sensitive skin at higher concentrations. Patch test recommended.
Butylene Glycol,Humectant/Solvent,Moisturizing/Texture,yes,yes,yes,yes,yes,yes,dryness|texture,none,all,yes,low,0,1-8,1.0,8.0,none,Gentler than propylene glycol. Good for sensitive skin.
Sorbitol,Humectant,Moisturizing/Smoothing,moderate,yes,yes,yes,yes,yes,dryness|texture,acne (high conc),all,yes,low,1,1-5,1.0,30.0,none,Can be mildly comedogenic at high concentrations in occlusive formulas.
Panthenol,Humectant/Conditioning,Moisturizing/Healing,yes,yes,yes,yes,yes,yes,dryness|redness|sensitivity|barrier,none,all,yes,low,0,0.5-5,0.5,5.0,none,Pro-Vitamin B5. Excellent wound healing and barrier support.
Urea,Humectant/Keratolytic,Moisturizing/Exfoliating,moderate,yes,moderate,yes,caution,yes,dryness|texture|barrier,redness (high conc),adult|mature,yes,medium,2,2-40,2.0,40.0,none,Low % (2-10%) moisturizing; high % (20-40%) keratolytic. Avoid broken skin.
Sodium PCA,Humectant,Natural Moisturizing Factor,yes,yes,yes,yes,yes,yes,dryness|texture,none,all,yes,low,0,0.5-5,0.5,5.0,none,Naturally found in skin. Excellent NMF component.
Betaine,Humectant/Osmoprotectant,Moisturizing/Soothing,yes,yes,yes,yes,yes,yes,dryness|redness|sensitivity,none,all,yes,low,0,0.5-5,0.5,5.0,none,Derived from sugar beet. Excellent for sensitive/rosacea skin.
